idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
55,4297612.726458443,1985821.1057091793,2311791.620749264,355669.1661702789,490.14146469589406,2.1641489830594147,2941.1972876798923,1830.4944386655632,823.1760692853006,2,0.7533632618511568,0.012816450372237723,4.305975954264914,0.2897984289497161,0.1061876151221199,6,5
56,5368426.299397148,2615733.4269879675,2752692.8724091807,444289.3827538192,536.9126012763861,2.052359863588593,2238.271646999034,5149.365785995083,2736.414441443656,2,0.7180649437911572,5.105911093528787e-06,2.1287993563950276,0.6447724725983988,0.4526633189183601,6,5
57,7135425.421382827,3964053.487507667,3171371.93387516,590525.7107670614,432.0193238141132,1.8000325787402802,2629.530923742299,9805.717518371323,3886.064239017528,2,0.6200332630020496,0.004193091146259098,2.0778468600244686,0.9105978404938228,0.0975510230894162,6,4
58,6937432.9366320195,3886965.4582923353,3050467.478339684,574139.910919216,432.07719026025603,1.7847940793587216,3666.9390371065447,7585.563786654651,3302.4607810607235,2,0.7626997910741662,0.018752860035222342,4.6524065640644245,0.29040141865599656,0.07115285497280951,6,4
59,3771514.821773953,1655001.3482324444,2116513.4735415084,312129.458199137,466.5043669077869,2.278859063046663,2756.4118294771424,951.6138260875714,391.99419302470477,2,0.7589456849195949,0.02005732704316485,4.675216659858931,0.8270447700561969,0.4360549252654559,6,5
60,332233.2031168413,296329.92470383906,35903.27841300226,27495.522246376262,411.89793164132305,1.1211598135047787,114.54769749280311,502.1708792240358,141.6196316272048,2,0.7130466125737047,0.0030208606890586246,4.569062711076447,0.2902933419689167,0.1102175541545819,5,6
61,3441075.6242547412,1453954.1333260627,1987121.4909286785,284782.40732876107,465.04884491019766,2.366701634791562,2581.068292823352,512.1768901820011,202.30439728390598,2,0.6125507393820098,0.011826280065085841,1.5373230280195609,0.2902933419689167,0.09821739600275932,6,5
62,7190911.435039008,4023582.813275408,3167328.6217636,595117.7169498684,523.0450335795007,1.7871911101999236,3218.1689940588913,9003.871500282487,3568.9570883583015,2,0.6143083784923017,0.002142822835848736,1.2228543710705948,0.26693219668774093,0.4307875629710219,6,6
63,194396.25902932958,288876.48545433633,-94480.22642500675,16088.177264069207,141.62229640658754,0.6729390200230002,117.67197479541801,507.67455116858406,53.68631623406334,2,0.7658157108134466,0.0232474256341888,4.900484895480633,0.9156228944952377,0.41002783329283615,6,4
64,936417.9173432161,514030.8545674593,422387.0627757568,77497.67162543593,509.8184961354377,1.8217153873597376,513.2977502622076,588.8190245195103,252.79165453163424,2,0.7186996688921807,0.01326174447757393,4.8427142690020535,0.04965944368954586,0.32221089441495054,6,6
65,3106264.5480892034,1284571.1540077997,1821693.3940814037,257073.5410665134,493.22118329414747,2.418133505799043,2223.551157149871,501.1498094386314,198.18122867572455,2,0.763503767990676,0.019778628989461262,1.232733397068605,0.07395235194383631,0.21069010463514215,6,6
66,847882.2890964989,498949.90439284156,348932.3847036573,70170.48905242141,481.6860621461828,1.699333503487216,417.99171189780645,661.3172050378674,367.3658317258359,2,0.7659118187742009,0.013419906750091437,1.5466202228441437,0.9193062240527545,0.08622341951470353,5,6
67,4335547.435733196,2030737.923394634,2304809.5123385624,358808.6315608196,542.9801629979868,2.1349615751922255,3487.2922803858655,1013.5026690766433,580.3562943746554,2,0.7590354070801805,0.01775243906182805,1.246107038807907,0.8846566408679126,0.4235932879126664,6,6
68,1467720.2316031787,686301.8648131618,781418.3667900169,121468.09500346426,540.8307901950664,2.138592807121032,906.0728363737096,512.7378706326812,307.34848018322367,2,0.7494848611543192,0.00768719330951463,1.200692833376239,0.06835355868922734,0.2709602595229425,6,5
69,2089406.3280697365,917044.4606982331,1172361.8673715033,172918.65363305283,278.11352890341374,2.2784133350294407,1433.7098152284238,502.1207739180432,198.2496433860528,1,0.6090701778277353,0.01332013267303632,1.348707291359243,0.2988752507840369,0.18194116356061119,6,5
70,4415585.311211076,2069479.0402803444,2346106.270930731,365432.5426121806,468.9623837869262,2.133669984216372,2954.7263320626075,2137.0644362166236,903.9075974991686,2,0.6136288031914678,0.0218018657973138,4.899290955132908,0.24302404879641976,0.174116968788635,6,5
71,3269108.1019122647,1383086.3268312924,1886021.7750809724,270550.4257210742,444.9801475543748,2.3636327237808255,2319.1375667762827,710.2829445890858,264.00227466560904,2,0.7517270602463164,0.01841652955580071,1.1887172106292432,0.17367985714747902,0.4405285881302991,6,5
72,7072597.008917418,3929601.653700917,3142995.3552165013,585326.0498167392,421.29912118357856,1.7998254358063022,2653.2568131370704,9814.082509613674,3474.991010156784,2,0.6200332630020496,0.0016527785276585739,2.0778468600244686,0.9105978404938228,0.09754765667304394,6,4
73,2240102.984475219,941773.3302495285,1298329.6542256908,185390.26462731662,418.7419819073033,2.378600999331432,1494.595663544486,506.03667445687046,159.28339907804406,2,0.7814816462765449,0.020286001651028937,4.936364774046624,0.14393665959880822,0.1672457483888851,6,5
74,4872580.425210101,2389926.082760671,2482654.3424494294,403253.3239355525,507.38549778279616,2.038799635000278,2983.9085383174993,3122.4966795484115,1668.6111498289602,2,0.8028645495151016,0.01766479653972498,2.029581566182789,0.2899961478477302,0.3536342187983978,6,5
75,6034767.488979058,3134053.690327707,2900713.798651351,499435.5837654709,561.6354186147371,1.9255469386512145,3316.842145791379,5150.992780021654,2873.364497243351,2,0.7692150476585731,0.005792679656717847,1.9228109401479652,0.8975291821684416,0.08123125835573095,6,6
76,764321.4039943245,446823.4563133354,317497.9476809891,63255.01475996873,522.634722454047,1.7105668764585702,269.968415949121,726.0664109143277,388.3630088927421,2,0.6226032283645959,0.009041478023566175,2.832622751276377,0.07795001831216444,0.06775307891291993,6,5
77,3062063.3204228515,1264544.2058089164,1797519.1146139351,253415.46045561822,454.8216656747579,2.4214759012430727,2189.1022673368907,500.0213939448612,165.74167257900072,2,0.6665850564176248,0.027447618303410505,4.838556932156041,0.03468614517713385,0.2745741830481453,6,6
78,5093831.4411371825,2471472.3903855775,2622359.050751605,421563.99298784765,501.52055395306576,2.0610513234754313,2238.271646999034,4647.378262944249,2451.520287927116,2,0.7640819352483144,0.020056581648253653,2.0748334154609616,0.6218629929087673,0.4519408126939631,6,5
79,4217399.392822082,1943420.8540687517,2273978.5387533307,349030.7342532892,543.4507056102666,2.170090633736137,3487.2922803858655,710.2829445890858,406.7253005409379,2,0.750178404607714,0.01775243906182805,1.246107038807907,0.061984966568074125,0.36514563814811535,6,6
